Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,31,HOU,AL,7,3,0.7,3.1,64,0,53,0,0,31,61,48,24,21,5,10,2,59,2,0,1,239,129,2.86,0.951,7.1,0.7,1.5,8.7,5.9,
2015,30,HOU,AL,5,5,0.5,1.9,68,0,18,0,0,2,71,42,18,15,8,22,1,68,1,0,2,276,210,3.66,0.901,5.3,1,2.8,8.6,3.09,
2015,34,HOU,AL,3,6,0.333,3.62,66,0,8,0,0,1,54.2,49,25,22,8,12,1,51,2,0,1,223,110,3.94,1.116,8.1,1.3,2,8.4,4.25,
2015,31,HOU,AL,3,4,0.429,1.99,60,0,12,0,0,0,54.1,41,13,12,5,15,1,62,1,0,4,216,201,2.93,1.031,6.8,0.8,2.5,10.3,4.13,
2015,36,HOU,AL,3,5,0.375,4.38,60,0,17,0,0,4,49.1,46,24,24,6,9,1,46,2,0,3,202,91,3.52,1.115,8.4,1.1,1.6,8.4,5.11,
2015,29,HOU,AL,4,1,0.8,3.55,54,0,19,0,0,0,50.2,39,20,20,2,19,3,67,1,0,1,209,113,2.19,1.145,6.9,0.4,3.4,11.9,3.53,
