Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,27,LAD,NL,2,1,0.667,2.41,54,0,50,0,0,36,52.1,33,14,14,6,8,0,80,2,0,0,200,152,2.14,0.783,5.7,1,1.4,13.8,10,
2015,28,LAD,NL,1,3,0.25,3.86,53,1,12,0,0,1,58.1,59,25,25,1,32,6,65,1,0,2,260,95,2.83,1.56,9.1,0.2,4.9,10,2.03,
2015,24,LAD,NL,3,5,0.375,3.34,59,1,15,0,0,1,56.2,44,23,21,8,10,1,68,2,0,1,225,110,3.2,0.953,7,1.3,1.6,10.8,6.8,
2015,27,LAD,NL,4,2,0.667,3.35,52,0,8,0,0,0,51,47,22,19,4,11,1,60,1,1,1,208,109,2.51,1.137,8.3,0.7,1.9,10.6,5.45,
2015,32,LAD,NL,6,1,0.857,1.43,65,0,18,0,0,1,44,47,9,7,3,14,1,39,2,1,3,190,256,3.34,1.386,9.6,0.6,2.9,8,2.79,
2015,30,LAD,NL,3,5,0.375,3.69,49,0,12,0,0,4,39,35,19,16,4,13,2,45,3,0,3,166,100,3.39,1.231,8.1,0.9,3,10.4,3.46,
