Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,36,STL,NL,13,10,0.565,2.77,33,33,0,1,0,0,218,211,71,67,21,53,5,175,4,3,5,896,140,3.57,1.211,8.7,0.9,2.2,7.2,3.3,CYA-9
2015,23,STL,NL,17,7,0.708,3.38,30,30,0,0,0,0,181.1,162,74,68,19,58,4,153,6,1,4,762,115,3.87,1.213,8,0.9,2.9,7.6,2.64,AS
2015,23,STL,NL,14,7,0.667,3.01,31,29,1,0,0,0,179.2,168,65,60,13,63,5,184,8,1,8,755,129,3.21,1.286,8.4,0.7,3.2,9.2,2.92,AS
2015,28,STL,NL,12,11,0.522,3.03,31,31,0,0,0,0,175.1,172,66,59,13,68,5,167,5,0,2,751,131,3.44,1.369,8.8,0.7,3.5,8.6,2.46,
2015,28,STL,NL,10,6,0.625,2.43,20,20,0,0,0,0,129.2,106,37,35,6,30,0,97,3,0,4,510,160,3,1.049,7.4,0.4,2.1,6.7,3.23,
2015,27,STL,NL,3,1,0.75,3.75,17,8,1,0,0,0,60,59,29,25,12,15,0,60,1,0,4,255,104,4.53,1.233,8.9,1.8,2.3,9,4,
