Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,27,HOU,AL,20,8,0.714,2.48,33,33,0,3,2,0,232,185,68,64,17,51,0,216,2,0,9,911,160,2.91,1.017,7.2,0.7,2,8.4,4.24,ASCYA-1MVP-5GG
2015,28,HOU,AL,19,7,0.731,3.89,32,32,0,0,0,0,203.2,207,89,88,19,53,2,171,9,0,5,859,102,3.58,1.277,9.1,0.8,2.3,7.6,3.23,CYA-8
2015,21,HOU,AL,6,7,0.462,3.22,22,22,0,1,0,0,125.2,106,49,45,10,43,2,129,5,1,8,520,124,3.26,1.186,7.6,0.7,3.1,9.2,3,
2015,32,HOU,AL,5,5,0.5,3.9,18,18,0,0,0,0,108.1,115,49,47,13,27,1,61,0,0,8,451,102,4.32,1.311,9.6,1.1,2.2,5.1,2.26,
2015,34,HOU,AL,3,5,0.375,4.36,20,11,6,0,0,0,84.2,90,48,41,9,26,2,42,1,0,1,357,92,4.48,1.37,9.6,1,2.8,4.5,1.62,
2015,31,HOU,AL,2,6,0.25,4.17,13,13,0,0,0,0,73.1,78,42,34,13,24,0,54,6,0,3,323,96,5.19,1.391,9.6,1.6,2.9,6.6,2.25,
