Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,27,PHI,NL,0,2,0,5.51,61,0,16,0,0,0,80,92,52,49,9,32,2,68,5,0,7,362,72,4.28,1.55,10.4,1,3.6,7.7,2.13,
2015,27,PHI,NL,2,3,0.4,3.01,65,0,21,0,0,0,74.2,82,28,25,4,17,4,50,2,0,3,319,132,3.25,1.326,9.9,0.5,2,6,2.94,
2015,24,PHI,NL,6,3,0.667,1.8,69,0,28,0,0,15,70,59,23,14,2,25,2,87,1,0,1,298,221,2.13,1.2,7.6,0.3,3.2,11.2,3.48,
2015,28,PHI,NL,4,6,0.4,3.51,72,0,14,0,0,2,66.2,72,28,26,4,37,8,63,0,1,6,304,113,3.69,1.635,9.7,0.5,5,8.5,1.7,
