Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,31,LAA,AL,3,3,0.5,3.18,62,0,51,0,0,40,62.1,52,22,22,7,20,5,57,0,0,6,255,118,3.73,1.155,7.5,1,2.9,8.2,2.85,
2015,26,LAA,AL,4,3,0.571,3.49,64,0,18,0,0,0,67,58,29,26,5,23,4,59,5,0,1,283,108,3.6,1.209,7.8,0.7,3.1,7.9,2.57,
2015,31,LAA,AL,5,5,0.5,3.58,70,0,13,0,0,5,65.1,64,26,26,4,19,4,57,2,0,1,271,105,3.15,1.27,8.8,0.6,2.6,7.9,3,
2015,30,LAA,AL,5,2,0.714,4.24,72,0,13,0,0,0,63.2,61,34,30,8,12,5,74,3,0,3,269,89,3.15,1.147,8.6,1.1,1.7,10.5,6.17,
2015,30,LAA,AL,5,2,0.714,4.24,72,0,13,0,0,0,63.2,61,34,30,8,12,5,74,3,0,3,269,89,3.15,1.147,8.6,1.1,1.7,10.5,6.17,
2015,22,LAA,AL,4,2,0.667,3.02,48,0,7,0,0,0,47.2,43,18,16,2,16,3,27,3,0,1,202,125,3.74,1.238,8.1,0.4,3,5.1,1.69,
