Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,25,OAK,AL,14,7,0.667,2.73,31,31,0,3,2,0,208,166,71,63,17,59,0,169,2,0,13,831,145,3.45,1.082,7.2,0.7,2.6,7.3,2.86,ASCYA-3
2015,31,OAK,AL,7,15,0.318,4.18,30,26,3,0,0,1,157,164,78,73,18,48,2,136,2,0,3,672,94,3.85,1.35,9.4,1,2.8,7.8,2.83,
2015,24,OAK,AL,6,9,0.4,4.05,21,21,0,1,0,0,115.2,126,57,52,15,38,0,77,5,0,4,502,98,4.6,1.418,9.8,1.2,3,6,2.03,
2015,31,OAK,AL,5,5,0.5,2.38,18,18,0,0,0,0,109.2,84,35,29,7,35,0,101,3,2,2,440,166,3.16,1.085,6.9,0.6,2.9,8.3,2.89,
2015,25,OAK,AL,6,6,0.5,3.35,16,16,0,1,1,0,96.2,88,46,36,5,25,1,64,8,0,7,406,118,3.51,1.169,8.2,0.5,2.3,6,2.56,
2015,26,OAK,AL,1,8,0.111,3.56,18,13,3,0,0,0,86,78,36,34,5,30,0,64,9,0,5,361,111,3.76,1.256,8.2,0.5,3.1,6.7,2.13,
