Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,25,ARI,NL,5,1,0.833,2.76,66,0,6,0,0,2,75,56,23,23,3,30,6,58,1,0,2,306,151,3.35,1.147,6.7,0.4,3.6,7,1.93,
2015,25,ARI,NL,8,4,0.667,3.25,64,1,13,0,0,1,72,63,28,26,7,33,2,73,1,0,7,308,128,3.79,1.333,7.9,0.9,4.1,9.1,2.21,
2015,35,ARI,NL,0,3,0,1.85,66,0,46,0,0,30,68,48,17,14,3,17,3,36,1,0,2,263,225,3.44,0.956,6.4,0.4,2.3,4.8,2.12,
2015,28,ARI,NL,4,3,0.571,3.86,64,1,13,0,0,4,67.2,64,34,29,7,25,2,71,0,0,5,290,108,3.49,1.315,8.5,0.9,3.3,9.4,2.84,
2015,26,ARI,NL,2,2,0.5,4.2,38,0,11,0,0,3,40.2,47,19,19,2,14,5,34,0,0,2,181,99,3.13,1.5,10.4,0.4,3.1,7.5,2.43,
2015,25,ARI,NL,5,1,0.833,3.19,9,6,1,0,0,0,36.2,29,13,13,4,17,1,34,3,0,2,150,131,4.33,1.255,7.1,1,4.2,8.3,2,
