Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,27,TEX,AL,6,4,0.6,2.99,73,0,53,0,0,35,72.1,66,25,24,9,17,5,76,2,0,0,298,144,3.44,1.147,8.2,1.1,2.1,9.5,4.47,CYA-10
2015,27,TEX,AL,0,0,,4.5,33,0,9,0,0,0,64,66,33,32,5,20,1,45,1,0,1,272,96,3.73,1.344,9.3,0.7,2.8,6.3,2.25,
2015,22,TEX,AL,7,5,0.583,2.39,68,0,11,0,0,1,60.1,52,18,16,4,18,0,68,0,1,6,243,181,2.64,1.16,7.8,0.6,2.7,10.1,3.78,
2015,28,TEX,AL,4,1,0.8,5.63,42,0,7,0,0,0,38.1,37,25,24,6,23,3,32,2,0,1,176,75,5.46,1.565,8.7,1.4,5.4,7.5,1.39,
2015,28,TEX,AL,0,0,,3.05,54,0,10,0,0,0,38.1,31,13,13,4,25,0,40,3,0,0,171,142,4.59,1.461,7.3,0.9,5.9,9.4,1.6,
2015,29,TEX,AL,0,5,0,7.12,17,7,4,0,0,0,43,62,37,34,9,20,0,28,3,0,3,208,61,6.16,1.907,13,1.9,4.2,5.9,1.4,
