Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,29,KCR,AL,3,2,0.6,3.83,48,0,40,0,0,32,44.2,39,20,19,2,26,1,49,0,0,7,193,109,3.27,1.455,7.9,0.4,5.2,9.9,1.88,
2015,25,KCR,AL,4,3,0.571,2.71,72,0,8,0,0,0,69.2,52,23,21,5,26,1,64,2,0,4,286,152,3.44,1.12,6.7,0.6,3.4,8.3,2.46,AS
2015,29,KCR,AL,8,1,0.889,0.94,69,0,24,0,0,17,67.1,33,8,7,3,20,1,78,0,0,1,251,440,2.29,0.787,4.4,0.4,2.7,10.4,3.9,ASCYA-6MVP-28
2015,34,KCR,AL,1,2,0.333,2.13,68,0,12,0,0,3,63.1,47,17,15,5,14,1,58,2,0,1,248,193,3.09,0.963,6.7,0.7,2,8.2,4.14,
2015,29,KCR,AL,4,2,0.667,3.18,67,0,12,0,0,0,62.1,58,24,22,4,14,0,41,4,2,6,258,130,3.52,1.155,8.4,0.6,2,5.9,2.93,
2015,31,KCR,AL,1,1,0.5,3.73,49,0,16,0,0,1,50.2,49,23,21,7,16,0,49,1,0,3,214,111,4,1.283,8.7,1.2,2.8,8.7,3.06,
