Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,27,WSN,NL,2,5,0.286,3.86,60,0,17,0,0,0,67.2,62,32,29,4,32,6,65,2,0,4,280,104,3.49,1.389,8.2,0.5,4.3,8.6,2.03,
2015,27,WSN,NL,2,2,0.5,3.44,58,0,35,0,0,29,55,45,23,21,4,16,2,67,5,0,2,228,117,2.79,1.109,7.4,0.7,2.6,11,4.19,
2015,38,WSN,NL,2,1,0.667,2.18,60,0,12,0,0,0,41.1,33,12,10,2,11,3,23,1,0,1,171,185,3.52,1.065,7.2,0.4,2.4,5,2.09,
2015,33,WSN,NL,2,5,0.286,4.95,48,0,12,0,0,0,40,38,22,22,5,8,3,27,1,0,1,166,81,4.08,1.15,8.6,1.1,1.8,6.1,3.38,
2015,27,WSN,NL,3,3,0.5,4.6,40,0,8,0,0,0,29.1,28,15,15,1,7,0,35,3,0,1,123,89,2.21,1.193,8.6,0.3,2.1,10.7,5,
