Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,34,COL,NL,9,7,0.563,4.17,26,26,0,1,0,0,149,137,73,69,17,65,3,134,3,2,6,635,113,4.19,1.356,8.3,1,3.9,8.1,2.06,
2015,30,COL,NL,7,13,0.35,6.32,27,27,0,0,0,0,142.1,172,102,100,33,45,2,80,7,0,4,629,74,6.12,1.525,10.9,2.1,2.8,5.1,1.78,
2015,28,COL,NL,6,10,0.375,5.33,24,22,0,2,1,0,131.2,170,88,78,19,41,5,86,3,2,2,594,88,4.71,1.603,11.6,1.3,2.8,5.9,2.1,
2015,26,COL,NL,8,6,0.571,4.23,20,20,0,0,0,0,115,120,56,54,11,42,2,98,3,0,6,502,111,3.85,1.409,9.4,0.9,3.3,7.7,2.33,
2015,24,COL,NL,3,10,0.231,5.9,16,16,0,1,0,0,79.1,102,57,52,13,42,4,44,4,0,0,370,80,5.89,1.815,11.6,1.5,4.8,5,1.05,
2015,27,COL,NL,5,5,0.5,6.09,17,12,0,0,0,0,78.1,95,56,53,14,20,2,61,2,0,11,346,77,4.74,1.468,10.9,1.6,2.3,7,3.05,
