Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,20,TOR,AL,1,6,0.143,2.58,68,0,39,0,0,20,69.2,48,21,20,7,16,2,75,1,0,5,271,155,3.02,0.919,6.2,0.9,2.1,9.7,4.69,RoY-4
2015,22,TOR,AL,7,6,0.538,3.22,41,11,4,0,0,0,92.1,74,35,33,9,44,2,61,3,0,8,380,124,4.61,1.278,7.2,0.9,4.3,5.9,1.39,
2015,26,TOR,AL,5,0,1,2.92,58,0,14,0,0,0,64.2,59,23,21,3,11,1,71,2,0,4,261,137,2.14,1.082,8.2,0.4,1.5,9.9,6.45,
2015,28,TOR,AL,5,5,0.5,2.48,63,0,24,0,0,5,54.1,39,17,15,4,13,3,70,2,0,4,214,161,2.34,0.957,6.5,0.7,2.2,11.6,5.38,
2015,27,TOR,AL,2,5,0.286,4.46,60,0,6,0,0,0,42.1,47,24,21,6,7,0,46,6,0,0,186,89,3.72,1.276,10,1.3,1.5,9.8,6.57,
2015,29,TOR,AL,0,1,0,3.56,31,0,10,0,0,1,43,32,19,17,7,14,0,31,1,0,2,173,113,4.85,1.07,6.7,1.5,2.9,6.5,2.21,
2015,27,TOR,AL,0,2,0,3.27,32,0,12,0,0,1,33,23,14,12,8,6,0,22,3,0,2,128,123,5.77,0.879,6.3,2.2,1.6,6,3.67,
