Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,29,BAL,AL,11,8,0.579,3.34,31,31,0,0,0,0,191.1,192,78,71,28,41,0,153,5,0,3,792,123,4.16,1.218,9,1.3,1.9,7.2,3.73,
2015,31,BAL,AL,12,10,0.545,4.11,32,32,0,0,0,0,184,182,89,84,20,68,1,168,11,0,6,791,100,4.01,1.359,8.9,1,3.3,8.2,2.47,
2015,27,BAL,AL,11,11,0.5,4.99,31,31,0,0,0,0,173,176,97,96,20,64,1,120,5,0,4,741,82,4.45,1.387,9.2,1,3.3,6.2,1.88,
2015,31,BAL,AL,9,12,0.429,4.91,26,26,0,0,0,0,144.2,151,81,79,24,51,2,109,8,0,4,622,83,5.01,1.396,9.4,1.5,3.2,6.8,2.14,
2015,24,BAL,AL,4,7,0.364,4.25,25,17,1,0,0,0,112.1,109,56,53,17,29,1,103,2,0,7,470,97,4.1,1.228,8.7,1.4,2.3,8.3,3.55,
2015,30,BAL,AL,2,9,0.182,7.06,18,11,2,0,0,0,66.1,84,57,52,14,25,0,50,3,0,0,305,58,5.64,1.643,11.4,1.9,3.4,6.8,2,
