Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,28,BOS,AL,11,11,0.5,4.46,32,32,0,1,0,0,193.2,201,98,96,17,64,0,147,4,1,10,831,96,3.81,1.368,9.3,0.8,3,6.8,2.3,
2015,26,BOS,AL,9,15,0.375,4.92,28,28,0,0,0,0,172,196,103,94,25,38,0,149,10,1,12,737,87,4.13,1.36,10.3,1.3,2,7.8,3.92,
2015,27,BOS,AL,10,6,0.625,4.82,25,25,0,0,0,0,134.1,145,76,72,15,49,0,110,6,0,9,587,89,4.18,1.444,9.7,1,3.3,7.4,2.24,
2015,22,BOS,AL,10,6,0.625,3.85,21,21,0,0,0,0,121.2,120,55,52,13,37,1,98,4,1,4,522,112,3.92,1.29,8.9,1,2.7,7.2,2.65,
2015,30,BOS,AL,7,7,0.5,3.26,18,18,0,1,0,0,113.1,114,48,41,6,23,0,107,5,0,3,469,132,2.68,1.209,9.1,0.5,1.8,8.5,4.65,
2015,22,BOS,AL,4,4,0.5,4.57,11,11,0,0,0,0,63,62,35,32,7,24,0,50,3,1,4,272,94,4.28,1.365,8.9,1,3.4,7.1,2.08,
