Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,32,ATL,NL,2,3,0.4,2.25,49,0,13,0,0,9,48,45,14,12,2,14,2,33,1,0,2,196,170,3.24,1.229,8.4,0.4,2.6,6.2,2.36,
2015,26,ATL,NL,2,2,0.5,4.63,39,0,12,0,0,0,35,27,20,18,4,22,2,37,0,0,1,151,83,4.39,1.4,6.9,1,5.7,9.5,1.68,
2015,38,ATL,NL,3,4,0.429,2.94,36,0,29,0,0,24,33.2,28,13,11,2,10,1,45,0,0,2,140,131,2.12,1.129,7.5,0.5,2.7,12,4.5,
2015,25,ATL,NL,2,4,0.333,3.58,50,0,7,0,0,0,37.2,35,15,15,4,10,2,31,0,1,1,154,107,3.66,1.195,8.4,1,2.4,7.4,3.1,
2015,24,ATL,NL,3,1,0.75,1.6,36,0,25,0,0,9,33.2,27,7,6,1,13,2,37,0,0,7,139,239,2.48,1.188,7.2,0.3,3.5,9.9,2.85,
2015,25,ATL,NL,2,4,0.333,3.58,50,0,7,0,0,0,37.2,35,15,15,4,10,2,31,0,1,1,154,107,3.66,1.195,8.4,1,2.4,7.4,3.1,
