Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,30,PIT,NL,3,2,0.6,2.23,78,0,63,0,0,51,76.2,57,22,19,4,14,2,62,2,0,3,293,171,2.82,0.926,6.7,0.5,1.6,7.3,4.43,ASCYA-8
2015,30,PIT,NL,4,1,0.8,1.91,77,0,4,0,0,1,75.1,55,17,16,3,17,1,62,4,0,1,293,200,2.84,0.956,6.6,0.4,2,7.4,3.65,
2015,28,PIT,NL,5,1,0.833,3.62,73,0,19,0,0,0,74.2,63,31,30,7,29,2,73,6,1,6,318,105,3.8,1.232,7.6,0.8,3.5,8.8,2.52,
2015,27,PIT,NL,4,6,0.4,4.02,23,8,6,0,0,0,71.2,81,36,32,6,21,3,49,2,0,3,310,95,3.82,1.423,10.2,0.8,2.6,6.2,2.33,
2015,29,PIT,NL,3,1,0.75,2.28,76,0,11,0,0,0,67,70,21,17,3,19,2,36,7,0,3,284,167,3.81,1.328,9.4,0.4,2.6,4.8,1.89,
2015,29,PIT,NL,4,1,0.8,2.98,66,0,18,0,0,1,57.1,39,19,19,4,26,2,64,3,0,8,239,128,3.33,1.134,6.1,0.6,4.1,10,2.46,
