Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,35,TEX,AL,17,9,0.654,4.66,33,33,0,2,1,0,204.2,211,114,106,26,42,2,142,11,0,5,861,92,4.17,1.236,9.3,1.1,1.8,6.2,3.38,
2015,29,TEX,AL,13,11,0.542,3.42,33,33,0,0,0,0,184.1,193,76,70,15,68,0,121,1,0,10,793,126,4,1.416,9.4,0.7,3.3,5.9,1.78,
2015,24,TEX,AL,7,7,0.5,3.96,24,21,1,0,0,0,125,135,66,55,16,46,2,77,13,0,4,558,109,4.98,1.448,9.7,1.2,3.3,5.5,1.67,
2015,36,TEX,AL,6,4,0.6,4.9,17,15,1,0,0,0,86.1,99,48,47,10,36,2,72,3,0,3,392,88,4.33,1.564,10.3,1,3.8,7.5,2,
2015,31,TEX,AL,7,1,0.875,3.66,12,12,0,1,0,0,83.2,77,35,34,10,23,0,78,4,2,2,343,118,3.79,1.195,8.3,1.1,2.5,8.4,3.39,
2015,24,TEX,AL,3,6,0.333,4.46,14,14,0,0,0,0,78.2,88,45,39,3,24,1,48,2,0,1,339,97,3.4,1.424,10.1,0.3,2.7,5.5,2,
