Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,25,NYM,NL,2,2,0.5,1.85,76,0,65,0,0,43,78,59,16,16,6,19,1,86,2,0,4,308,202,2.74,1,6.8,0.7,2.2,9.9,4.53,
2015,32,NYM,NL,5,6,0.455,4.68,59,0,19,0,0,0,57.2,61,32,30,5,18,6,48,0,0,5,243,80,3.53,1.37,9.5,0.8,2.8,7.5,2.67,
2015,25,NYM,NL,3,2,0.6,2.67,50,1,13,0,0,0,57.1,50,17,17,2,18,5,54,2,0,1,235,140,2.75,1.186,7.8,0.3,2.8,8.5,3,
2015,24,NYM,NL,4,3,0.571,3.67,57,0,7,0,0,0,54,37,27,22,8,18,1,61,2,1,2,217,102,3.91,1.019,6.2,1.3,3,10.2,3.39,
2015,29,NYM,NL,0,3,0,5.9,8,7,0,0,0,0,39.2,55,29,26,5,11,3,25,1,0,0,183,64,4.42,1.664,12.5,1.1,2.5,5.7,2.27,
2015,25,NYM,NL,1,1,0.5,3.03,14,4,3,0,0,1,38.2,23,13,13,5,11,3,36,2,0,0,148,124,3.96,0.879,5.4,1.2,2.6,8.4,3.27,
2015,24,NYM,NL,4,0,1,2.27,6,6,0,0,0,0,35.2,34,9,9,4,10,0,34,1,0,0,149,166,3.61,1.234,8.6,1,2.5,8.6,3.4,
