Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,27,LAD,NL,16,7,0.696,2.13,33,33,0,4,3,0,232.2,163,62,55,15,42,1,301,5,3,9,890,171,1.99,0.881,6.3,0.6,1.6,11.6,7.17,ASCYA-3MVP-10
2015,31,LAD,NL,19,3,0.864,1.66,32,32,0,1,0,0,222.2,148,43,41,14,40,1,200,5,0,7,843,220,2.76,0.844,6,0.6,1.6,8.1,5,ASCYA-2MVP-7GG
2015,27,LAD,NL,10,9,0.526,3.69,31,31,0,1,0,0,180.1,194,82,74,18,46,2,116,2,2,4,750,101,3.94,1.331,9.7,0.9,2.3,5.8,2.52,
2015,27,LAD,NL,6,6,0.5,3.62,21,21,0,0,0,0,109.1,104,49,44,11,45,3,98,1,1,6,466,101,3.91,1.363,8.6,0.9,3.7,8.1,2.18,
2015,25,LAD,NL,5,5,0.5,4.06,17,13,1,0,0,0,77.2,88,38,35,7,26,1,43,3,0,3,333,92,4.32,1.468,10.2,0.8,3,5,1.65,
2015,24,LAD,NL,5,6,0.455,4.35,12,12,0,0,0,0,70.1,66,36,34,7,23,2,49,2,1,1,292,84,4.1,1.265,8.4,0.9,2.9,6.3,2.13,
