Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,34,DET,AL,13,12,0.52,5.05,31,31,0,2,1,0,187,201,112,105,24,68,1,117,8,0,14,820,79,4.77,1.439,9.7,1.2,3.3,5.6,1.72,
2015,31,DET,AL,10,10,0.5,4.99,25,25,0,1,1,0,157,152,89,87,29,49,1,138,1,3,5,660,80,4.73,1.28,8.7,1.7,2.8,7.9,2.82,
2015,29,DET,AL,9,4,0.692,2.53,21,21,0,3,1,0,146,133,50,41,13,29,2,138,3,0,3,592,158,3.06,1.11,8.2,0.8,1.8,8.5,4.76,
2015,32,DET,AL,5,8,0.385,3.38,20,20,0,1,1,0,133.1,113,56,50,13,32,1,113,3,0,2,535,118,3.49,1.088,7.6,0.9,2.2,7.6,3.53,
2015,26,DET,AL,4,8,0.333,6.88,18,16,1,0,0,0,83.2,103,67,64,13,27,4,50,6,0,1,373,58,5.14,1.554,11.1,1.4,2.9,5.4,1.85,
2015,25,DET,AL,3,8,0.273,5.94,13,11,2,0,0,0,63.2,78,43,42,7,23,1,32,0,1,2,280,67,4.64,1.586,11,1,3.3,4.5,1.39,
