Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,33,MIL,NL,1,3,0.25,2.21,60,0,55,0,0,38,57,38,15,14,6,11,1,62,0,0,3,216,180,2.91,0.86,6,0.9,1.7,9.8,5.64,AS
2015,27,MIL,NL,5,0,1,2.65,72,0,8,0,0,0,68,64,22,20,5,22,5,67,3,2,4,285,150,3.22,1.265,8.5,0.7,2.9,8.9,3.05,
2015,25,MIL,NL,7,2,0.778,2.7,76,0,11,0,0,0,63.1,52,23,19,5,24,1,91,1,0,5,264,147,2.47,1.2,7.4,0.7,3.4,12.9,3.79,
2015,26,MIL,NL,5,3,0.625,2.43,45,0,17,0,0,0,55.2,40,17,15,3,18,1,47,1,0,3,222,164,3.17,1.042,6.5,0.5,2.9,7.6,2.61,
2015,23,MIL,NL,0,0,,3.22,48,0,15,0,0,0,50.1,44,18,18,8,17,1,58,2,0,1,209,124,4.03,1.212,7.9,1.4,3,10.4,3.41,
2015,35,MIL,NL,1,0,1,3.26,51,0,9,0,0,0,49.2,44,18,18,9,17,2,49,3,0,2,209,122,4.72,1.228,8,1.6,3.1,8.9,2.88,
