Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,30,NYY,AL,3,2,0.6,2.04,60,0,53,0,0,36,61.2,33,16,14,5,20,1,100,5,0,2,246,198,2.16,0.859,4.8,0.7,2.9,14.6,5,CYA-10
2015,27,NYY,AL,7,7,0.5,3.29,43,17,5,0,0,1,131.1,114,51,48,10,39,1,104,7,0,7,534,122,3.59,1.165,7.8,0.7,2.7,7.1,2.67,
2015,27,NYY,AL,6,4,0.6,1.5,74,0,17,0,0,9,84,45,17,14,6,40,2,131,3,0,9,332,269,2.48,1.012,4.8,0.6,4.3,14,3.28,ASCYA-14
2015,27,NYY,AL,5,0,1,3.1,74,0,3,0,0,0,61,49,21,21,3,20,0,66,2,0,4,244,130,2.69,1.131,7.2,0.4,3,9.7,3.3,
2015,24,NYY,AL,6,2,0.75,3.09,59,0,13,0,0,0,58.1,49,21,20,10,33,2,64,1,0,4,251,131,4.92,1.406,7.6,1.5,5.1,9.9,1.94,
2015,36,NYY,AL,0,4,0,7.97,22,4,7,0,0,0,40.2,52,38,36,6,22,1,38,3,0,0,196,51,5.03,1.82,11.5,1.3,4.9,8.4,1.73,
