Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,30,SFG,NL,1,1,0.5,3.67,42,1,15,0,0,1,76,75,32,31,11,15,2,59,1,0,3,316,103,4.09,1.184,8.9,1.3,1.8,7,3.93,
2015,32,SFG,NL,0,5,0,2.98,70,0,14,0,0,2,57.1,51,20,19,3,10,2,71,1,0,4,230,127,1.91,1.064,8,0.5,1.6,11.1,7.1,
2015,30,SFG,NL,4,4,0.5,2.33,73,0,12,0,0,0,73.1,57,20,19,9,12,3,44,0,0,3,284,162,4.02,0.941,7,1.1,1.5,5.4,3.67,
2015,27,SFG,NL,2,5,0.286,4.07,9,9,0,1,1,0,55.1,51,25,25,8,15,1,29,1,1,3,222,93,4.83,1.193,8.3,1.3,2.4,4.7,1.93,
2015,26,SFG,NL,3,3,0.5,2.45,55,0,11,0,0,0,51.1,34,14,14,4,10,1,50,2,0,1,191,154,2.9,0.857,6,0.7,1.8,8.8,5,
