Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,24,PIT,NL,19,8,0.704,2.6,32,32,0,0,0,0,208,183,71,60,11,44,1,202,10,0,7,832,146,2.66,1.091,7.9,0.5,1.9,8.7,4.59,ASCYA-4MVP-19
2015,31,PIT,NL,12,7,0.632,3.38,31,31,0,0,0,0,186.2,155,75,70,15,70,1,205,5,1,10,773,113,3.19,1.205,7.5,0.7,3.4,9.9,2.93,
2015,27,PIT,NL,8,11,0.421,4.49,30,30,0,0,0,0,168.1,179,95,84,15,60,4,129,7,0,5,736,85,3.95,1.42,9.6,0.8,3.2,6.9,2.15,
2015,38,PIT,NL,9,7,0.563,3.18,26,26,0,0,0,0,164,174,64,58,11,49,2,143,11,1,6,699,121,3.36,1.36,9.5,0.6,2.7,7.8,2.92,AS
2015,31,PIT,NL,9,9,0.5,4.81,23,23,0,0,0,0,129,137,77,69,13,41,6,96,12,1,2,563,79,4.19,1.38,9.6,0.9,2.9,6.7,2.34,
2015,32,PIT,NL,7,2,0.778,1.85,11,11,0,0,0,0,63.1,52,13,13,3,13,1,69,0,0,2,249,207,2.19,1.026,7.4,0.4,1.8,9.8,5.31,
