Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,29,CLE,AL,9,16,0.36,3.49,32,32,0,4,0,0,222,189,92,86,22,45,3,245,11,1,6,886,122,2.97,1.054,7.7,0.9,1.8,9.9,5.44,CYA-9
2015,25,CLE,AL,14,10,0.583,3.45,30,30,0,0,0,0,185,156,79,71,23,53,1,195,7,2,3,757,123,3.62,1.13,7.6,1.1,2.6,9.5,3.68,
2015,28,CLE,AL,14,12,0.538,3.63,30,30,0,3,1,0,183.2,154,75,74,18,43,2,216,5,0,5,730,118,2.84,1.073,7.5,0.9,2.1,10.6,5.02,CYA-13
2015,24,CLE,AL,11,12,0.478,4.55,31,30,1,1,0,0,176,152,90,89,23,79,1,170,5,1,7,744,94,4.33,1.313,7.8,1.2,4,8.7,2.15,
2015,24,CLE,AL,7,3,0.7,3.05,15,15,0,1,0,0,91.1,77,32,31,9,24,1,44,1,1,0,365,140,4.27,1.106,7.6,0.9,2.4,4.3,1.83,
