Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,24,ATL,NL,6,17,0.261,3.02,33,33,0,2,2,0,205.1,183,82,69,13,73,8,171,6,2,5,860,126,3.45,1.247,8,0.6,3.2,7.5,2.34,AS
2015,24,ATL,NL,11,8,0.579,4.04,33,33,0,0,0,0,200.2,189,99,90,27,73,3,171,9,0,2,843,94,4.4,1.306,8.5,1.2,3.3,7.7,2.34,
2015,24,ATL,NL,7,6,0.538,4.78,23,20,1,1,0,1,116.2,130,66,62,13,51,2,73,9,1,4,514,80,4.87,1.551,10,1,3.9,5.6,1.43,
2015,22,ATL,NL,8,8,0.5,4.71,20,19,0,0,0,0,109,119,59,57,16,40,4,72,4,3,2,478,81,4.93,1.459,9.8,1.3,3.3,5.9,1.8,
2015,23,ATL,NL,4,6,0.4,5.71,18,15,1,0,0,0,86.2,112,63,55,17,29,0,77,4,1,3,399,67,5.05,1.627,11.6,1.8,3,8,2.66,
2015,35,ATL,NL,1,5,0.167,5.85,9,8,1,0,0,0,47.2,48,31,31,10,13,1,31,0,0,1,196,65,5.38,1.28,9.1,1.9,2.5,5.9,2.38,
