Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2015,37,SDP,NL,6,5,0.545,2.34,67,0,11,0,0,2,65.1,36,17,17,7,23,1,63,2,0,2,254,156,3.75,0.903,5,1,3.2,8.7,2.74,
2015,27,SDP,NL,4,2,0.667,2.58,61,0,53,0,0,39,59.1,40,19,17,6,22,1,87,1,0,4,239,142,2.68,1.045,6.1,0.9,3.3,13.2,3.95,
2015,26,SDP,NL,3,2,0.6,4.01,57,0,19,0,0,0,58.1,52,28,26,6,20,3,58,1,1,0,243,91,3.56,1.234,8,0.9,3.1,8.9,2.9,
2015,31,SDP,NL,2,2,0.5,2.45,53,0,14,0,0,0,51.1,41,18,14,4,15,4,63,0,0,0,205,149,2.57,1.091,7.2,0.7,2.6,11,4.2,
2015,24,SDP,NL,7,4,0.636,3,53,0,10,0,0,0,51,39,19,17,3,15,1,39,1,0,1,206,122,3.31,1.059,6.9,0.5,2.6,6.9,2.6,
2015,25,SDP,NL,0,1,0,5.21,40,1,11,0,0,0,38,41,23,22,9,22,1,30,1,0,3,173,71,6.45,1.658,9.7,2.1,5.2,7.1,1.36,
2015,34,SDP,NL,2,2,0.5,4.06,38,0,5,0,0,0,37.2,37,17,17,5,15,4,25,0,0,2,158,91,4.73,1.381,8.8,1.2,3.6,6,1.67,
